lat,long,price,sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15
47.6808,-122.384,600000,1410,4080,1000,410,1410,4080
47.6989,-122.369,585000,1980,8550,990,990,1480,6738
47.6571,-122.281,920000,2730,6000,2130,600,2730,6000
47.6597,-122.29,885000,2830,5000,2830,0,1950,5000
47.3663,-122.114,292500,2250,4495,2250,0,2250,4500
47.3663,-122.122,301000,2420,4750,2420,0,2690,4750
47.588,-122.116,951000,3250,14342,3250,0,2960,11044
47.5059,-122.149,430000,1850,9976,1850,0,2270,8542
47.4336,-122.339,650000,2150,21235,1590,560,2570,18900
47.4366,-122.335,289000,1260,8400,1260,0,1290,8750
47.4428,-122.344,505000,2519,8690,2519,0,2500,9500
47.6765,-122.32,549000,1540,1044,1540,0,1580,3090
47.6113,-122.297,425000,1660,6000,1110,550,1440,4080
47.5747,-122.304,317625,2770,3809,1770,1000,1440,4000
47.5815,-122.192,975000,2720,11049,2720,0,2750,11049
47.3378,-122.257,287000,2240,4648,2240,0,2221,4557
47.3621,-122.11,204000,1000,12070,1000,0,1010,12635
47.6303,-122.215,1.33E+06,3200,20158,1600,1600,3390,20158
47.6525,-122.16,1.04E+06,4770,50094,3070,1700,3530,38917
47.7362,-122.179,325000,1260,5612,1260,0,1640,4745
47.7168,-122.287,571000,2750,7807,2250,500,1510,7807
47.3608,-122.036,360000,2380,5000,2380,0,2420,5000
47.3511,-122.073,349000,1790,50529,1090,700,1940,50529
47.5822,-121.987,832500,3430,35102,2390,1040,3240,35020
47.6034,-122.125,380000,1760,7300,880,880,1680,7500
47.5636,-122.394,480000,1040,5060,1040,0,890,5060
47.7073,-122.34,410000,1410,5060,910,500,1130,5693
47.342,-122.025,720000,3450,39683,3450,0,3350,39750
47.3512,-122.008,390000,2350,5100,2350,0,2350,5363
47.349,-122.031,360000,1900,5889,1900,0,1870,6405
47.5474,-122.291,355000,2020,6720,1010,1010,1720,6720
47.4811,-122.149,356000,1680,8712,1680,0,1850,8797
47.7264,-122.31,315000,960,6634,960,0,1570,7203
47.6337,-122.365,940000,2140,3600,1900,240,2020,4800
47.2909,-122.189,305000,2660,8400,2660,0,1590,8165
47.5228,-122.199,461000,2770,6278,1980,790,1900,7349
47.518,-122.194,215000,1610,2040,1610,0,1950,2025
47.5394,-122.387,335000,1030,1066,765,265,1030,1106
47.2897,-122.372,243500,1980,7403,1980,0,1980,7510
47.6506,-122.391,1.10E+06,3520,6353,3520,0,2520,6250
47.322,-122.351,153000,1200,10500,1200,0,1350,10500
47.687,-122.386,430000,1580,5000,1290,290,1570,4500
47.687,-122.386,700000,1580,5000,1290,290,1570,4500
47.5873,-122.249,905000,3300,10250,2390,910,1950,6045
47.3576,-122.277,247500,1960,15681,1960,0,1750,15616
47.3036,-122.378,199000,1160,6400,1160,0,1160,6400
47.4109,-121.958,314000,1810,41800,1210,600,1650,135036
47.4838,-121.714,437500,2320,36847,2320,0,2550,35065
47.6415,-122.315,850830,2070,13241,1270,800,2200,4500
47.6775,-122.372,555000,1980,3478,1440,540,1610,3478
47.7731,-122.08,699950,2190,107593,2190,0,2570,47777
47.5814,-122.196,1.09E+06,2920,8113,2920,0,2370,8113
47.4375,-122.184,290000,1210,33919,1210,0,1640,14910
47.4431,-122.133,375000,2340,10005,1460,880,2250,8162
47.6878,-122.38,460000,1670,4005,1170,500,1240,4005
47.3813,-122.322,188500,1240,2493,1240,0,1270,4966
47.7304,-122.082,680000,3140,28037,3140,0,2990,35001
47.6417,-122.109,470000,2030,12342,2030,0,2500,9433
47.5386,-122.053,597750,2310,9624,2310,0,1940,9636
47.6823,-122.349,570000,1260,3328,700,560,1380,3536
47.3624,-122.031,272500,1540,12600,1160,380,1540,11656
47.5474,-122.295,329950,2080,5969,1080,1000,2090,5500
47.3183,-122.253,480000,3230,16171,2520,710,2640,8517
47.6981,-122.368,740500,4380,6350,2780,1600,1830,6350
47.6824,-122.347,518500,1590,1102,1590,0,1620,3166
47.5009,-122.248,205425,880,6780,880,0,1190,6780
47.4965,-122.303,171800,1570,9600,1570,0,1880,9000
47.587,-122.294,535000,1610,2982,1610,0,1610,4040
47.7728,-122.386,660000,2400,6474,1560,840,2340,10856
47.7288,-122.226,391500,1450,9132,1450,0,1580,9104
47.6999,-122.364,395000,770,6000,770,0,1710,6000
47.5299,-122.266,445000,2100,4400,1720,380,1850,4400
47.6897,-122.098,770000,2910,10204,2910,0,2700,13992
47.6141,-122.212,1.45E+06,2750,17789,1980,770,3060,11275
47.5091,-122.244,445000,2100,8201,1620,480,2660,8712
47.3129,-122.39,260000,2160,8811,1360,800,2090,8400
47.6763,-122.352,822500,2320,4960,1720,600,1700,4960
47.5319,-121.85,430000,2070,4310,2070,0,1970,3748
47.2761,-122.152,212000,1060,7875,1060,0,1420,7680
47.5343,-122.054,660500,2010,9603,1440,570,2060,9793
47.697,-122.072,784000,3950,111078,2460,1490,2480,88500
47.5517,-121.998,453246,2010,2287,1390,620,1690,1662
47.6734,-122.38,675000,2140,2278,2140,0,1540,2285
47.3257,-122.296,199000,1320,17390,1320,0,1550,19265
47.3309,-122.299,220000,2020,7840,1010,1010,1750,8140
47.7689,-122.266,452000,2590,10002,1340,1250,1550,10436
47.7135,-122.287,382500,1190,4440,1190,0,1060,5715
47.6722,-122.381,519950,1170,1249,1170,0,1350,1310
47.6338,-122.358,665000,1110,3200,1110,0,1170,3600
47.5707,-122.128,527700,2820,9375,1550,1270,2820,9375
47.4563,-122.171,205000,1610,8579,1010,600,1610,8579
47.7144,-122.351,420000,1060,8097,940,120,1560,7940
47.5495,-122.174,500000,2030,8517,1380,650,2230,8824
47.7421,-122.026,921500,3670,315374,3670,0,2840,87991
47.6354,-122.353,890000,2550,4000,2370,180,2200,4000
47.5262,-121.943,430000,2420,60984,2420,0,1940,193842
47.3887,-122.286,258000,2260,12500,1130,1130,1360,18000
47.6873,-122.336,511000,1430,3455,980,450,1450,4599
47.6838,-122.353,532170,1360,3090,1360,0,1500,3090
47.655,-122.359,560000,1110,5000,1110,0,1420,5000
47.3255,-122.304,282950,1250,8200,1250,0,1680,8633
47.562,-122.162,2.25E+06,5180,19850,3540,1640,3160,9750
47.679,-122.3,350000,700,5100,700,0,1010,5100
47.4479,-122.176,215000,1180,7669,1180,0,1190,7669
47.525,-122.172,650000,3960,25245,2500,1460,2640,13675
47.3135,-122.369,320000,2640,7500,1620,1020,1980,7875
47.2086,-121.996,247000,1270,7198,1270,0,1160,7198
47.4715,-122.118,320000,1760,11180,1760,0,1730,11180
47.4877,-122.335,255000,2060,8632,1030,1030,1010,11680
47.7171,-122.193,438000,1780,9660,1780,0,1200,9660
47.6012,-122.023,900000,3400,16603,3400,0,3400,12601
47.7319,-122.224,441000,1910,7280,1160,750,1710,8152
47.4582,-122.023,420000,2020,38332,1010,1010,2110,36590
47.7209,-122.168,370000,1580,7000,1180,400,1640,7500
47.408,-122.327,269950,1340,7250,700,640,1830,9750
47.565,-122.125,807100,2680,4499,2680,0,2920,4500
47.7028,-122.231,653000,2680,9750,1610,1070,2480,8750
47.7458,-122.331,371500,1370,8336,1370,0,1770,7288
47.4776,-122.337,284000,1560,21000,1560,0,1070,7920
47.3026,-122.374,272000,2160,7140,1670,490,1930,7350
47.7658,-122.339,313000,1340,7912,1340,0,1480,7940
47.6477,-122.182,917500,3880,35003,2570,1310,3740,35230
47.5619,-122.125,673000,2590,8190,2590,0,2260,8335
47.6106,-122.31,425000,1120,1100,820,300,1590,1795
47.5868,-122.308,399950,1970,5400,1320,650,1280,2150
47.6101,-122.307,385000,1220,4800,1220,0,1200,4800
47.1976,-121.999,269950,1950,7560,1320,630,1950,8941
47.7224,-122.358,330000,1350,8220,1060,290,1540,8280
47.3505,-122.179,260000,1670,5797,1670,0,1670,6183
47.5384,-122.376,470000,2380,5125,1680,700,1410,5375
47.7044,-122.2,589000,2440,9600,2440,0,2290,9600
47.3848,-122.039,163500,1050,3419,1050,0,1050,3417
47.6993,-122.102,835000,3130,13412,2140,990,2260,9984
47.6627,-122.188,1.10E+06,4090,12850,2090,2000,2540,10270
47.3099,-122.379,269000,1490,10000,1100,390,2190,8910
47.62,-122.043,560000,1900,8744,1900,0,2030,8744
47.65,-122.34,615000,1330,2400,1330,0,1330,4400
47.6647,-122.153,585188,2230,10026,1430,800,2230,9340
47.726,-122.191,305000,1650,9480,1220,430,1540,8400
47.4616,-122.184,166950,1190,8820,1190,0,1230,7980
47.5505,-122.219,799000,2140,9897,2140,0,2680,10083
47.7606,-122.336,400000,2180,7508,1420,760,1900,7818
47.7481,-122.3,230000,1060,10228,1060,0,1570,10228
47.2779,-122.347,256883,1690,5025,1690,0,2550,5001
47.5511,-122.312,423000,1970,6480,1130,840,1500,6480
47.5488,-122.372,465000,2150,4084,2150,0,1750,2385
47.5385,-121.911,440000,1910,66211,1910,0,2330,67268
47.4058,-121.994,385000,1350,155073,1350,0,1560,50965
47.5093,-122.184,210000,860,11725,860,0,1300,9514
47.3777,-122.165,297000,1940,14952,1940,0,2030,10450
47.675,-122.394,470000,1010,5000,1010,0,1680,5000
47.3025,-122.37,226500,1300,7370,900,400,1430,7500
47.4787,-122.158,274250,910,8450,910,0,1400,8040
47.5378,-122.219,840000,2480,11010,1630,850,2770,10744
47.7073,-122.114,677900,2440,4587,2440,0,2750,4587
47.5733,-122.381,425000,1010,5864,1010,0,1290,5000
47.4604,-122.339,180250,900,9600,900,0,1250,14280
47.7067,-122.343,464000,2300,3404,1600,700,1560,1312
47.354,-122.047,320000,1550,7579,1550,0,1630,6397
47.6647,-122.284,625504,1270,1566,1060,210,1160,1327
47.6143,-122.017,592500,2240,12032,2240,0,2520,12368
47.3185,-122.275,465000,2714,17936,2714,0,2590,18386
47.5458,-122.268,477000,1720,6270,1720,0,2130,8700
47.4889,-122.299,280000,850,16400,850,0,1100,14459
47.5673,-122.21,1.51E+06,3300,33474,1870,1430,3836,20953
47.5133,-122.379,445838,2250,5692,2250,0,1320,5390
47.5884,-122.291,1.07E+06,3900,14864,1950,1950,2580,5184
47.7145,-122.367,467000,1320,10800,1320,0,2120,12040
47.5836,-122.026,686000,2760,6440,2760,0,3070,8127
47.398,-122.299,279950,1750,9750,1350,400,1900,10125
47.7663,-122.215,527000,2330,19436,2330,0,1910,10055
47.3758,-122.217,325000,2220,16020,1780,440,2080,9583
47.3828,-122.023,328000,2020,8379,2020,0,2020,8031
47.5123,-122.373,390000,1250,7500,1250,0,1280,7392
47.7076,-122.013,479950,1510,6516,1510,0,1640,6009
47.2922,-122.371,264950,1720,9753,1120,600,1510,9753
47.4075,-122.214,235000,1430,15246,980,450,1960,13068
47.6794,-122.034,516500,1480,4729,1480,0,2250,4729
47.4497,-122.375,655000,1450,15798,1230,220,2030,13193
47.5218,-122.164,500000,2280,15347,2280,0,2280,15347
47.3103,-122.339,315000,2940,7350,1780,1160,2120,8236
47.5687,-121.899,213000,1000,10200,1000,0,1150,13702
47.5575,-122.303,475000,2480,5280,1620,860,2090,4800
47.6489,-122.183,1.03E+06,3760,28040,3760,0,3430,35096
47.3459,-121.95,416000,2220,94300,1640,580,2070,80100
47.6136,-122.303,410000,1970,4740,1670,300,1510,4740
47.7641,-122.023,800000,3830,221284,3530,300,2920,148539
47.3376,-122.324,472000,4410,14034,2350,2060,2600,13988
47.3173,-122.319,225000,1430,8505,1430,0,1190,8640
47.5308,-122.376,210000,830,6000,830,0,830,4960
47.6727,-122.299,455000,1430,5000,1430,0,1450,3750
47.3221,-122.216,225000,1300,8316,1300,0,1260,8316
47.6779,-122.353,480000,1030,3060,790,240,1390,3060
47.3076,-122.395,363000,2740,11872,2740,0,2570,10377
47.6338,-122.072,2.40E+06,3650,8354,1830,1820,3120,18841
47.5218,-122.357,181000,720,5120,720,0,1150,2566
47.2785,-122.213,250000,2010,7312,2010,0,2010,7650
47.6846,-122.345,481000,1560,3000,770,790,1390,3000
47.3656,-122.278,260000,1810,7209,1240,570,1750,7209
47.4369,-122.111,455000,3360,7685,3360,0,3060,6567
47.4616,-121.711,415000,1510,36224,1510,0,1730,36224
47.5405,-122.27,349500,1400,3538,800,600,1620,6331
47.3507,-122.178,245000,1730,7442,1730,0,1630,6458
47.6979,-122.32,592500,1420,9191,1420,0,1420,6816
47.5278,-122.345,385000,2360,7620,1180,1180,1910,7620
47.4756,-122.147,315000,1580,11455,1200,380,1550,10650
47.4437,-121.772,255000,1230,10170,1230,0,1380,10098
47.7048,-122.109,693000,2460,4425,2460,0,2990,5659
47.6362,-122.302,780000,1660,4400,1460,200,1660,4400
47.4207,-122.29,237000,1270,8470,1270,0,1600,8470
47.6154,-122.047,525000,2100,40510,1320,780,2380,33450
47.5964,-122.299,425000,770,5040,770,0,1330,2580
47.4683,-122.438,369900,760,10079,760,0,1230,14267
47.4045,-122.171,290000,1700,7280,1700,0,1950,7475
47.5544,-122.358,285000,1120,10701,1120,0,1130,6350
47.6802,-122.29,415000,1070,4500,1070,0,1320,4465
47.2988,-122.371,272500,2070,9900,1420,650,2070,8250
47.6312,-122.223,2.90E+06,5050,20100,4750,300,3890,20060
47.7285,-122.042,1.37E+06,5310,57346,5310,0,4180,47443
47.7107,-122.352,436000,1040,7538,1040,0,1440,7530
47.3271,-122.323,210000,1700,11390,1700,0,1350,8164
47.5053,-122.255,236000,1300,5898,1300,0,1320,7619
47.6601,-122.4,331000,1080,1306,580,500,1440,2225
47.4145,-122.166,365000,2653,4510,2653,0,2653,4927
47.4672,-122.165,450000,2290,16258,2290,0,1660,10530
47.7618,-122.261,770000,3820,26300,2850,970,1860,12136
47.3828,-122.071,455000,2210,49375,2210,0,2670,49385
47.5362,-122.268,405000,2390,6000,1240,1150,2020,6000
47.3954,-122.206,304900,2600,11325,1610,990,1720,11088
47.5048,-122.272,170000,860,5265,860,0,1650,8775
47.6166,-122.287,2.05E+06,3830,8480,2630,1200,3050,7556
47.6811,-122.025,780000,3500,7048,3500,0,3920,7864
47.7486,-122.23,330000,2420,13959,1740,680,2570,13300
47.3846,-122.169,370000,2720,8666,2720,0,2410,8100
47.7564,-122.144,467000,2500,13500,1850,650,2300,9750
47.7198,-122.193,405000,1670,6720,1140,530,1670,7320
47.5461,-122.151,675000,2900,10300,1450,1450,2310,10300
47.5712,-122.143,500000,1640,14100,1140,500,1520,13527
47.4281,-122.343,389999,1890,15770,1890,0,2410,15256
47.7128,-122.223,630000,2950,9025,1780,1170,2120,9600
47.3341,-122.255,360000,2160,9528,2160,0,2280,9937
47.5399,-122.181,580000,3280,11060,2270,1010,2320,11004
47.5717,-122.375,550000,1970,4166,1270,700,2390,4166
47.5951,-122.017,879000,3360,22111,3360,0,3150,11374
47.3536,-122.144,265000,1320,8959,1320,0,1740,7316
47.5084,-122.154,446500,2650,7286,2650,0,2400,7220
47.5586,-122.311,404000,2030,8880,1330,700,2140,5592
47.4427,-122.274,267500,1590,11914,1090,500,1630,9052
47.6053,-122.077,3.08E+06,4550,18641,2600,1950,4550,19508
47.3494,-122.301,335000,2440,7632,2440,0,2510,7903
47.6933,-122.393,576000,1940,9000,970,970,2190,7310
47.3537,-122,208633,2040,3810,2040,0,2370,4590
47.476,-122.337,315000,2200,8750,1120,1080,1460,10139
47.6239,-122.298,725000,1920,3300,960,960,1740,4000
47.7776,-122.384,550000,1800,7750,1400,400,1800,8275
47.6459,-122.058,610750,2180,7297,2180,0,2250,9781
47.6692,-122.297,550700,1010,5000,1010,0,1460,5000
47.5376,-122.18,665000,3320,10574,2220,1100,2720,8330
47.601,-122.294,834000,2370,4000,1980,390,2440,5750
47.529,-121.837,201000,1660,78408,1660,0,1660,78408
47.6345,-122.367,2.38E+06,3650,9050,3370,280,2880,5400
47.5503,-122.102,1.38E+06,4290,12103,2690,1600,3860,11244
47.5503,-122.102,1.40E+06,4290,12103,2690,1600,3860,11244
47.4441,-122.125,305000,1950,7700,1350,600,2150,7350
47.7357,-122.333,487000,2590,14052,1720,870,1570,8162
47.346,-122.157,390000,1930,64904,1930,0,2350,57500
47.6638,-122.345,548000,1470,3864,1170,300,1570,3864
47.48,-122.336,268750,800,8775,800,0,1310,8775
47.6759,-122.151,819900,3150,7119,3150,0,1560,8384
47.5162,-122.057,520000,2030,16200,2030,0,2660,17958
47.2639,-122.252,230000,1450,11204,1450,0,1520,9518
47.2929,-122.371,240000,1510,10248,1510,0,1510,9753
47.4957,-122.352,232000,1240,12092,960,280,1820,7460
47.4957,-122.352,240500,1240,12092,960,280,1820,7460
47.7721,-122.093,274975,3030,45004,3030,0,3080,35781
47.644,-122.319,740000,2050,4400,2050,0,2320,5500
47.472,-122.344,186375,1000,7636,1000,0,1150,7600
47.592,-122.166,790000,2370,10289,1590,780,2500,10004
47.669,-122.275,880000,2800,6750,1890,910,2370,6120
47.42,-122.323,279000,2240,11180,2240,0,1590,7955
47.1913,-122.012,295000,1810,10530,1810,0,1910,10450
47.6666,-122.331,640000,1070,5000,1070,0,1710,5000
47.5639,-122.217,940000,2490,9525,2490,0,2770,9525
47.3483,-122.052,260000,1960,5238,1960,0,1800,5894
47.7648,-122.164,559900,2930,5569,1860,1070,2580,11045
47.6794,-122.357,791500,1510,3500,1510,0,1820,3750
47.7535,-122.354,265000,1420,8250,1420,0,1740,8000
47.4945,-122.22,245000,1740,11547,1740,0,880,78408
47.6945,-122.093,485000,2560,43995,2560,0,2560,14764
47.5222,-122.157,684000,3040,8414,2420,620,3470,8066
47.7222,-122.32,425000,2500,6840,1300,1200,1580,8691
47.3796,-122.49,309600,1275,20000,1275,0,1660,20000
47.5374,-121.875,552250,2580,5823,2580,0,2380,5823
47.4897,-122.24,165000,1000,7134,1000,0,1020,7138
47.4897,-122.24,239900,1000,7134,1000,0,1020,7138
47.4716,-122.078,320000,1070,32633,1070,0,1360,32156
47.3581,-122.173,206600,1390,13464,1390,0,1720,12080
47.7713,-122.307,387000,2500,7690,1250,1250,2040,8646
47.675,-121.854,299000,560,12120,560,0,1300,19207
47.5603,-122.222,855000,2270,10460,2270,0,2610,10180
47.4147,-122.337,315000,1900,14400,1300,600,1940,14400
47.68,-122.353,437500,990,3120,790,200,1930,3120
47.3117,-122.27,252000,1550,19800,1050,500,1640,22654
47.543,-122.28,375000,2200,7475,1100,1100,1600,5766
47.3607,-122.034,300000,1910,4862,1910,0,2010,5091
47.5759,-122.137,420000,1750,9600,1750,0,1750,10530
47.6891,-122.159,900000,1330,77972,1330,0,1340,17689
47.565,-122.381,679900,2440,5750,1980,460,1520,5750
47.6359,-121.974,463000,1640,29970,1640,0,1580,28399
47.4769,-122.141,380000,2760,11340,2760,0,2470,11340
47.3845,-122.029,329500,1820,7912,1820,0,1820,8168
47.6743,-122.184,604950,2110,5608,1340,770,2040,9363
47.5651,-122.164,795000,3040,9570,1640,1400,2920,8800
47.4853,-121.709,465000,1840,40438,1840,0,1380,44049
47.4508,-122.359,673000,2990,10400,2990,0,2140,17449
47.6375,-122.016,810000,3520,15420,3520,0,3400,21455
47.5944,-122.042,785000,2440,69415,1910,530,2770,24361
47.4888,-122.182,338000,2090,7500,1370,720,1810,7650
47.5112,-122.19,280000,1430,7222,1430,0,1430,7220
47.7711,-122.341,315000,2180,10754,1100,1080,1810,6929
47.7711,-122.341,530000,2180,10754,1100,1080,1810,6929
47.2813,-122.345,380000,3450,9914,3450,0,2860,9721
47.5038,-122.189,297000,1450,7562,1450,0,1650,7625
47.5823,-121.97,730000,3230,7331,3230,0,3480,7447
47.7164,-122.304,450000,1640,13500,1110,530,1770,12600
47.3624,-122.045,275000,1590,7750,1060,530,1680,7500
47.6831,-122.329,595000,2020,2849,2020,0,1910,3120
47.592,-122.307,435000,1300,3348,1300,0,1590,2577
47.7461,-122.195,270000,1380,209959,1380,0,3130,19868
47.7268,-122.06,950000,4040,14338,3030,1010,3360,14142
47.7237,-121.959,389000,2130,5337,2130,0,2300,6930
47.6283,-122.095,560000,2550,7800,1580,970,2420,8050
47.5543,-122.148,1.35E+06,4800,14984,3480,1320,4050,19009
47.5483,-122.226,799000,2510,11585,2510,0,2450,9691
47.7591,-122.146,365500,1410,9600,1410,0,1410,9600
47.4612,-122.169,252350,1650,7352,1160,490,1710,7350
47.4987,-122.365,403950,2120,13780,2120,0,1880,12000
47.772,-122.358,385000,2040,10726,1380,660,1610,10020
47.5287,-122.35,345000,1550,7620,1550,0,1450,7620
47.6109,-122.114,490000,1980,3128,1980,0,1950,2856
47.7736,-121.901,330000,1600,26977,1600,0,1790,27743
47.6294,-122.218,927000,3300,12090,3300,0,3180,12239
47.5634,-122.213,1.12E+06,3840,16619,3840,0,3600,16553
47.7405,-122.241,330000,1220,10000,1220,0,2000,9600
47.5976,-122.118,530000,2720,8800,1500,1220,2110,8800
47.5722,-122.129,365000,1940,25600,1940,0,2000,10071
47.5644,-122.289,378750,2160,3000,1260,900,1060,3500
47.4556,-122.157,269900,1530,8750,1530,0,1390,8750
47.6055,-122.305,557000,1710,2096,1290,420,1630,1543
47.1775,-122.022,360000,3730,16980,2150,1580,1880,16963
47.6879,-122.385,352000,940,5000,940,0,1560,4500
47.4807,-121.779,437000,1750,22357,1750,0,2430,22357
47.3845,-122.032,322500,1820,6753,1820,0,1820,7107
47.5815,-122.402,650000,1510,2000,1330,180,1510,1352
47.6609,-122.344,450000,1290,1213,1290,0,1290,3235
47.3163,-122.188,278500,1570,5250,1570,0,1570,5250
47.4309,-122.191,364950,1930,6957,1930,0,2090,6996
47.401,-122.026,840000,2840,40139,2840,0,3180,36852
47.404,-122.191,268000,1550,8134,1550,0,1550,8134
47.3889,-122.482,517534,833,143947,833,0,1380,143947
47.7718,-122.095,632925,2990,32239,2990,0,2990,36497
47.7067,-122.2,577500,2000,7251,2000,0,2450,8118
47.504,-122.227,339000,2390,7480,2390,0,2850,6867
47.7015,-122.164,570000,2910,37461,1530,1380,2520,18295
47.5753,-121.95,563500,2085,174240,1610,475,2690,174240
47.7448,-122.333,423000,2200,9351,1290,910,1910,8660
47.7318,-121.982,355000,1860,5028,1860,0,2320,5465
47.5954,-121.95,1.55E+06,6070,171626,6070,0,4680,211267
47.6885,-122.337,482000,950,3960,950,0,1320,4050
47.5724,-122.179,625000,1600,9135,1600,0,1580,9800
47.5272,-122.169,538000,2250,11632,2250,0,2360,11632
47.4334,-122.161,380000,2280,10255,2280,0,2310,10094
47.6073,-122.308,375000,940,5120,940,0,1300,5120
47.3592,-122.046,245000,1530,8500,1030,500,1850,8140
47.4546,-122.337,310000,2190,27260,2190,0,1620,39480
47.6408,-122.219,1.30E+06,2350,15021,1770,580,3530,15715
47.7245,-122.2,397000,1440,7680,1200,240,1460,9660
47.4362,-122.178,365000,2200,4052,2200,0,2310,5082
47.3739,-122.156,328500,2290,8250,2290,0,2290,8250
47.7205,-122.127,988000,4040,19700,4040,0,3930,21887
47.6636,-122.33,1.00E+06,2610,3277,1920,690,1810,3277
47.4324,-122.197,237000,1490,2138,1490,0,1490,2094
47.7734,-122.224,525000,2450,5280,2450,0,2300,4674
47.559,-122.164,749000,1710,9627,1440,270,2140,9131
47.633,-122.041,722500,4870,11800,3470,1400,3180,11398
47.6954,-122.103,843000,3130,8750,3130,0,2860,9003
47.6776,-122.318,438000,1270,1372,1270,0,1610,3090
47.504,-122.382,578000,2120,10875,1540,580,2460,11760
47.2613,-122.255,227950,1670,8230,1670,0,2077,4910
47.3417,-122.271,196000,2070,11576,2070,0,1890,7519
47.6694,-122.275,641000,1420,5332,1070,350,2400,5406
47.4056,-121.955,350000,1250,219978,1250,0,1930,210394
47.3838,-122.289,205000,940,7980,940,0,1150,8050
47.7487,-122.082,400000,1920,9102,1920,0,1920,9760
47.5534,-122.078,1.03E+06,3545,9816,2610,935,3630,7704
47.7355,-122.18,505000,1260,5460,1260,0,1510,5460
47.7206,-122.211,475000,2340,7200,1300,1040,1930,7221
47.7691,-122.262,520000,2590,9263,1440,1150,2580,9450
47.7183,-122.258,1.45E+06,3970,24920,3260,710,2610,13838
47.7736,-122.214,333500,1220,9732,1220,0,1630,10007
47.362,-122.029,232000,1400,10403,1400,0,1230,10209
47.5698,-122.121,691100,2360,16117,1710,650,2120,16117
47.5505,-122.221,811000,1870,9897,1870,0,1900,10005
47.7605,-122.234,551000,2830,5802,2830,0,2500,5788
47.7356,-122.157,496500,2260,3640,2260,0,2350,3710
47.3844,-122.438,705000,1970,20978,1770,200,2280,75396
47.4904,-122.226,578000,3140,9225,1770,1370,2460,9600
47.3663,-122.089,255000,1240,8659,1240,0,1490,8223
47.5637,-122.123,1.05E+06,3450,7832,3450,0,3220,8567
